"title","clientSpent","estimatedBudget","paymentVerified","techStack","matchesInDescription","keyword","link","jobDescription","date","proposal"
"GPT Developer for AI Features in Creative SaaS Platform","$5M+
spent","Hourly: $30.00 - $75.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Artificial Intelligence, Machine Learning, API","No","generative ai","https://www.upwork.com/jobs/GPT-Developer-for-span-class-highlight-span-Features-Creative-SaaS-Platform_~021925674154318151492/?referrer_url_path=/nx/search/jobs/","Job Description We’re looking for a senior-level GPT developer to join our team and build deeply integrated AI features into an established SaaS platform used by real customers every day. This is not a prototype or a standalone chatbot project. It’s part of a larger, production-grade platform with existing users, workflows, and engineering infrastructure. You’ll be working with an experienced team of backend (Laravel), frontend (Vue 3), and product professionals to define and deliver AI features that directly improve how our users create and interact with content. Initial Project: AI-Powered Input Workflow The first feature you’ll own is a GPT-driven user input experience. This will replace a static form and guide users through a dynamic, conversational flow that results in structured, validated outputs ready for downstream use. Responsibilities include: Architecting a clean, modular integration with OpenAI’s GPT-4o or GPT-5 Injecting dynamic context from user history, org data, and content metadata Designing multi-turn GPT flows that feel natural and purposeful Ensuring all GPT outputs are formatted, validated, and production-ready Collaborating with product and UI/UX to align with core user needs Ongoing Scope If the initial project is a fit, you'll continue helping build and improve: GPT-powered content generation, captioning, and scripting features AI-based onboarding and in-product coaching workflows Smart editing and summarization features using video transcripts Internal GPT tools for QA, workflow automation, and operational support Additional conversational UX surfaces integrated into the platform Requirements Must have: Proven experience building GPT or LLM-based features in production Expertise with OpenAI APIs (GPT-4, GPT-4o, or GPT-5) Strong prompt design and output structuring (JSON, tokens, function calling, etc.) Ability to inject multi-source context (user data, metadata, transcripts) Experience building for reliability: token limits, retries, fallbacks, streaming Comfortable working with product teams and integrating into real workflows Nice to have: Familiarity with Vue 3 or Laravel (you won’t own this, but context helps) Experience with transcript analysis, NLP, or media workflows Knowledge of RAG-style context systems or LangChain-style architectures About This Role This is a strategic hire. We're not looking for basic chatbot experience or early experimentation. We need someone who has already worked with GPT in complex, real-world environments and understands the nuance of building systems users actually rely on. You will be working directly with decision-makers. Your work will ship quickly and be used by professionals across a growing platform. The ability to think clearly, solve problems independently, and collaborate thoughtfully is essential.","2025-05-28",""
"TypeScript Software Engineer with LLM & AWS Expertise Needed","$4M+
spent","Hourly: $55.00 - $65.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Artificial Intelligence, Python, Machine Learning, Amazon Web Services","No","generative ai","https://www.upwork.com/jobs/TypeScript-Software-Engineer-with-LLM-AWS-Expertise-Needed_~021901667430194153563/?referrer_url_path=/nx/search/jobs/","We are seeking an experienced Platform Engineer with a strong background in TypeScript to join our AI Coach Platform team. The ideal candidate will be proficient in TypeScript, experienced with modern AI technologies such as large language models (LLMs) and embedding models, deeply familiar with the NestJS framework, and knowledgeable about AWS cloud services. You will be responsible for designing scalable AI solutions, working with cutting-edge AI technologies, deploying and maintaining platform services, and leveraging AWS features for efficient data processing and storage. If you are passionate about AI and want to help iFIT change our members' lives, we encourage you to reach out! ### ROLE COMMITMENTS - Build and maintain scalable platform services and infrastructure - Collaborate effectively across teams to ensure seamless integration of platform and AI components - Drive technical excellence in engineering practices focused on TypeScript and platform development - Contribute to our engineering culture of ownership and innovation ### ESSENTIAL DUTIES AND RESPONSIBILITIES - Design, develop, and deploy robust platform solutions using TypeScript - Write clean, tested code in TypeScript, following engineering best practices - Contribute to initiatives to enhance platform scalability, reliability, and performance using modern cloud infrastructure (AWS) and Infrastructure as Code (Terraform) - Contribute to platform tooling and infrastructure to support seamless integration of ML capabilities - Participate in code reviews and technical design discussions with a focus on platform enhancement - Monitor and maintain platform services in production, ensuring high availability and performance - Document technical decisions and system architectures related to platform engineering","2025-05-28",""
"Sagemaker Expert Needed for Training Foundational Models","$4M
spent","Hourly: $50.00 - $150.00 Expert Est. time: 1 to 3 months, Less than 30 hrs/week","Yes","Machine Learning, Python, TensorFlow, Deep Learning, Keras","No","generative ai","https://www.upwork.com/jobs/Sagemaker-Expert-Needed-for-Training-Foundational-Models_~021918669277525505474/?referrer_url_path=/nx/search/jobs/","Here at nOps we help customers to optimize their spend, we are looking we are seeking a Sagemaker expert to assist in training foundational models to accurately predict infrastructure cost. The ideal candidate will have hands-on experience with AWS Sagemaker, including setting up environments, optimizing model training, and deploying solutions. You will be responsible for developing and fine-tuning algorithms to achieve desired outcomes.","2025-05-28",""
"Sagemaker Expert Needed for Training Foundational Models","$4M
spent","Hourly: $50.00 - $100.00 Expert Est. time: 1 to 3 months, 30+ hrs/week","Yes","Machine Learning, Python, TensorFlow, Deep Learning, Keras","No","generative ai","https://www.upwork.com/jobs/Sagemaker-Expert-Needed-for-Training-Foundational-Models_~021925174263738069058/?referrer_url_path=/nx/search/jobs/","We are seeking a highly skilled Sagemaker expert to assist in training foundational models for our machine learning projects. The ideal candidate will have extensive experience with AWS Sagemaker, model optimization, and deployment strategies. You will be responsible for guiding our team through the setup and execution of training workflows, ensuring efficient use of resources, and fine-tuning models for performance. If you are passionate about machine learning and have a proven track record, we want to hear from you!","2025-05-28",""
"AI Solution Architect","Not listed","Hourly: $45.00 - $60.00 Expert Est. time: 3 to 6 months, Hours to be determined","Yes","Artificial Intelligence, Activity Diagram, Computer Vision, TypeScript","No","generative ai","https://www.upwork.com/jobs/span-class-highlight-span-Solution-Architect_~021920139037106682284/?referrer_url_path=/nx/search/jobs/","We’re looking for someone who thrives at the intersection of people, process, and technology. As an AI Solution Specialist, you’ll help drive software projects by ensuring that client goals, technical implementation, and AI-supported workflows come together smoothly. Your role focuses on translating complex inputs into structured action, keeping everyone on the same page, and guiding AI-assisted delivery in a way that’s both efficient and human-centric. While not writing code, you’ll be the one who keeps the bigger picture aligned. Whether you’re aligning with developers, supporting decision-making, or keeping freelancers moving in the right direction. 20-32h + per week What you bring A confident, structured way of working – you create clarity where others see complexity Familiarity with how modern software systems are built (JavaScript, Node.js, Python – you understand the architecture, even if you don’t write the code) A sharp eye for spotting gaps, asking the right questions, and connecting dots across roles and disciplines Experience using AI-enhanced tools like Cursor or Windsurf – or a clear interest in leveraging them Strong communication skills, especially in client-facing situations Comfort working across disciplines and leading through coordination, not hierarchy Excellent written and spoken German (C1+) Availability during core German business hours (±2h CET) Your role @elunic Act as a central point of coordination between developers, freelancers, and stakeholders Help define what needs to be done, by whom, and why – turning vague goals into actionable work Support teams in using AI tooling to speed up architecture, documentation, and decisions Keep communication flowing across product, tech, and client interfaces Facilitate productive collaboration by creating structure and eliminating friction Ensure that the technical side of the project stays aligned with real-world needs and constraints","2025-05-28",""
"AI Video Creator – End-to-End AI Video Generation Expert","$3M+
spent","Hourly Expert Est. time: More than 6 months, Hours to be determined","Yes","Artificial Intelligence, Adobe Illustrator, Video Post-Editing","No","generative ai","https://www.upwork.com/jobs/span-class-highlight-span-Video-Creator-End-End-span-class-highlight-span-Video-Generation-Expert_~021924824034502437646/?referrer_url_path=/nx/search/jobs/","We are looking for a highly creative and technically skilled AI video creator who can independently handle full-cycle AI video production. You should be capable of generating everything through AI – including visuals, characters, voiceovers, scripts, and editing – without requiring raw footage. Scope of Work • Create high-quality videos using AI tools from concept to final render • Generate visual content (realistic, stylized, or animated) • Use AI for scriptwriting and voiceovers (multilingual a plus) • Handle video editing, effects, transitions, subtitles • Output videos optimized for platforms like Instagram, TikTok, Amazon, and YouTube Preferred Skills • Experience with AI video generation tools such a • Runway ML (video editing, motion tracking, Gen-2 video-to-video) • Pika Labs (AI video generation from prompts) • Synthesia or D-ID (AI avatars and voiceover) • ElevenLabs (AI voice synthesis) • Kaiber or Genmo (prompt-to-video) • HeyGen (AI avatars for marketing videos) • Midjourney / Stable Diffusion (for generating visuals or storyboards) • Descript or Adobe Premiere Pro + Firefly AI (editing and transcription) What You Bring • A portfolio of past AI-generated videos (required) • Ability to transform written ideas or rough concepts into compelling AI videos • Proficiency in scripting and storytelling for short-form and long-form formats • Familiarity with the latest AI content creation tools and trends Bonus • Experience creating product videos, tech accessories, or lifestyle content • Ability to generate content that fits Apple-style clean aesthetics • Knowledge of TikTok/Instagram trends and video algorithms Please include: 1. Your portfolio (AI videos only) 2. Which AI tools you use and for what purpose 3. Your typical turnaround time","2025-05-28",""
"AI Layer for Next.JS website","$2M+
spent","Hourly Expert Est. time: 1 to 3 months, Less than 30 hrs/week","Yes","AI App Development, AI Model Integration, AI Development, Next.js","No","generative ai","https://www.upwork.com/jobs/span-class-highlight-span-Layer-for-Next-website_~021920576695611695455/?referrer_url_path=/nx/search/jobs/","Seeking a senior full-stack machine-learning engineer to integrate AI functionalities into our web application, enhancing user experience and personalization. Requirements - Complete AI enablement on the web app. - Wire analytics and add pgvector to Supabase. - Develop a rule-based vector recommender for 'next lesson'. - Design a prompt-driven LLM for personalized 'Flyyt Path'- pdf generation - Deploy lightweight lead-matching scorer with latency 150 ms. - AI cost ≤ $0.10 per active user. - Keep all data inside Postgres with RLS and 'no-train' vendor flags. - Proficiency in Next.js 14/TypeScript and Python ML. - Understand Postgres indexing, embeddings, and experimentation similar to LaunchDarkly. - Able to manage DevOps on Fly.io, including GitHub Actions, MLflow, Redis, and secret rotation.","2025-05-28",""
"Sr. AI Engineer - Chainlit, LangChain, Literal.ai Integration and Optimization","$2M+
spent","Hourly: $25.00 - $50.00 Expert Est. time: 1 to 3 months, Less than 30 hrs/week","Yes","Artificial Intelligence, Integration Testing, Application Integration","No","generative ai","https://www.upwork.com/jobs/span-class-highlight-span-Engineer-Chainlit-LangChain-Literal-span-class-highlight-span-Integration-and-Optimization_~021916599476653622530/?referrer_url_path=/nx/search/jobs/","Excellent — thanks for the detailed answers! Here’s a clear, professional Upwork job description draft based on everything you shared: ⸻ Job Title: AI Engineer - Chainlit, LangChain, Literal.ai Integration and Optimization (Customer 360 Chat App) Job Description: We are seeking a skilled AI Engineer to help finalize the integration of Literal.ai into our Chainlit + LangChain chat application, which powers a Customer 360 data layer (via Tilores GraphQL). Our project is live on Render.com but can be moved elsewhere as needed. The primary focus is on properly completing the Literal.ai setup and optimizing the application for prompt engineering, observability, evaluations, and multi-LLM testing. ⸻ Project Scope: ✅ Complete and validate full integration of Literal.ai features: • Prompt Playground dynamic editing with multiple LLMs • Live Observability (prompt and response tracing, error monitoring) • Evaluation tools for prompt success rates • Data integrations (Tilores GraphQL access from within Literal Playground) ✅ Optimize AI performance: • Improve prompt quality and consistency • Reduce LLM response times where possible • Set up robust error handling across Chainlit and LangChain ✅ Strengthen Chainlit Application: • Review and enhance Chainlit’s memory or stateless strategy • Improve structured tool output and conversational flow • Ensure easy future deployability (Render.com or elsewhere) ⸻ Tech Stack: • Chainlit (Python, React front-end for LLM apps) • LangChain (agents, tools, memory) • Literal.ai (prompt observability and playground) • Tilores.io (GraphQL Customer 360 data layer) • OpenAI (and other LLM providers) • Render.com (current deployment - flexible) ⸻ Ideal Candidate: • Deep experience with Chainlit and LangChain. • Hands-on experience integrating Literal.ai observability and evaluations. • Strong LLM prompt engineering fundamentals. • Experience working with GraphQL APIs. • Comfortable improving both backend logic (LangChain agents/tools) and frontend user experience (Chainlit app behavior). • Familiarity with multi-cloud or Render.com deployments is a plus but not required. ⸻ Engagement Details: • Hourly project engagement. • Target timeline: Completion within 2 weeks. • Will work closely with our internal team (CTO-led project). • Flexible working hours — US Eastern Time zone preferred but not required. ⸻ Screening Questions (Optional but Recommended for Applicants): (You can ask these on Upwork to filter applicants better.) 1. Have you integrated Literal.ai into a Chainlit or LangChain application before? Please describe. 2. How do you typically structure a Chainlit project for multi-LLM dynamic switching? 3. What tools or strategies would you use to evaluate prompt success and suggest improvements? 4. Are you comfortable connecting external GraphQL APIs into a Chainlit + Literal setup? ⸻ How to Apply: Please send: • A short message summarizing your experience with Chainlit, LangChain, and Literal.ai. • Links to any similar projects you’ve worked on (GitHub, deployed apps, etc.). • Your availability to start.","2025-05-28",""
"Large Language Model (LLM) Platform Engineer","Not listed","Hourly Expert Est. time: More than 6 months, 30+ hrs/week","Yes","AI Development, Deep Learning","No","generative ai","https://www.upwork.com/jobs/Large-Language-Model-LLM-Platform-Engineer_~021918001070433232100/?referrer_url_path=/nx/search/jobs/","We are seeking an experienced LLM Platform Engineer to architect, deploy, and maintain scalable Large Language Model (LLM) infrastructure. This mission-critical role involves provisioning enterprise-grade GPU cloud environments, optimizing quantized model inference, and integrating multilingual compliance functionality through robust, production-ready APIs. Key Responsibilities: • Design and deploy low-latency, high-throughput LLM inference platforms on GPU-enabled cloud environments (e.g., Oracle Cloud, Azure, AWS with A100s or equivalent). • Implement and optimize quantized LLMs (LLaMA 3/4 8B or 13B or Aya 101) for scalable inference, balancing performance with precision. • LoRA adapters architecture and design • Develop and maintain robust, secure APIs to expose model capabilities to internal systems. • Integrate multilingual compliance workflows, red teaming pipelines, and model logging/observability. • Manage infrastructure orchestration using tools like Kubernetes, Docker, Terraform, or similar. • Monitor and fine-tune GPU workloads, inference determinism, and memory optimization. • Plan for future enhancements including fine-tuning, retrieval-augmented generation (RAG), and model chaining. Required Qualifications: • 5+ years of experience in software engineering or ML infrastructure, with a focus on AI/ML model deployment. • Deep understanding of large language models, including quantization (INT4, GPTQ, AWQ, etc.). • Experience with LLM inference frameworks (e.g., vLLM, TGI, TensorRT-LLM, Hugging Face Transformers) • Proficient with GPU-based compute environments and orchestration tools (e.g., Kubernetes, Slurm). • Proven success deploying AI models in production cloud environments (OCI, Azure, AWS). • Strong documentation and communication skills for interfacing with government clients. • Working knowledge of multilingual NLP, OCR integration, or compliance automation use cases. • Experience in model evaluation, bias detection, and safe model deployment strategies.","2025-05-28",""
"Full-Stack AI Application Engineer (LLM Integration + Prompt Engineering)","$1M+
spent","Hourly Expert Est. time: 3 to 6 months, Hours to be determined","Yes","AI App Development, AI Model Integration, OpenAI API, React","No","generative ai","https://www.upwork.com/jobs/Full-Stack-span-class-highlight-span-Application-Engineer-LLM-Integration-Prompt-Engineering_~021920197494229033380/?referrer_url_path=/nx/search/jobs/","Important! Please don’t use AI to write your proposal, or to answer screening questions. you'd be surprised how many responses say the exact same thing. If your answers look AI-generated, your application will be disqualified. Project Overview: We're building a web app that allows users (translators) to upload documents like PDFs, Word files, or images, and have them translated using AI (ChatGPT or Gemini) with the original layout preserved — including tables, headers, text and legal formatting and other parts of the document. The app should: * Extract and translate content accurately using LLM APIs OpenAI and Gemini) * will explain why we need both for high-accuracy output. * Maintain document structure and formatting in HTML * Provide a live preview of the translated document side-by-side with the original * Allow users to edit translations, submit prompt corrections, and get AI feedback * Support PDF/DOCX export that mirrors the original design * Use a two-pass translation process (1st for accuracy, 2nd for formatting refinement) perhaps use two models. * We may later add features like quality scoring, alternate translation suggestions, and a feedback loop for AI improvement. Note on Design: We don't have final UI/UX designs at this stage. For the MVP, we’ll work with clean, functional templates and basic components to get the core functionality working. Once the app is fully functional, we’ll layer in a more polished, professional design. What I’m Looking For: * Ideally, someone who can own the full MVP build * Experience working with LLM APIs (OpenAI, Gemini, Claude, etc.) * Strong prompt engineering skills * Frontend experience with React or similar frameworks * Ability to work with HTML/PDF/DOCX rendering tools (like jsPDF, html2pdf) You’ll own the build from the ground up, shape the product’s core architecture, and work directly with the founder. We move fast, give clear feedback, and respect your time. If you’re someone who takes pride in quality and can move quickly with confidence, let’s talk.","2025-05-28",""
"Project Coordinator and Customer Support Specialist - Sana Agents (CET)","$2M+
spent","Hourly: $18.00 - $24.00 Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Administrative Support, Time Management, Communications, Decision Making","No","agentic ai","https://www.upwork.com/jobs/Project-Coordinator-and-Customer-Support-Specialist-Sana-span-class-highlight-Agents-span-CET_~021914233985513527942/?referrer_url_path=/nx/search/jobs/","Project Coordinator and Customer Support Specialist (Sana AI) Who is Sana Labs At Sana Labs, we are the global leaders in applying AI to revolutionize corporate learning. Our innovative platform, Sana, transforms learning experiences from ad-hoc and unengaging to continuous, delightful, and personalized. We proudly serve leading Fortune 500 and 2000 companies, making a tangible impact on their learning and development initiatives. Learn more about Sana AI here. Why we need you We are looking for a project support and coordinator that would play a key role throughout the journey that new customers embark on when they choose Sana. That includes participating in and following up the project kick-off, onboarding the client, and supporting the project until the go-live. It will be your job to ensure that the support experienced by our customers is world-class: proactive, responsive, and effective. You will work with Sana experts that will overlook the project and will help with problem-solving and stakeholder management. You are expected to be the ""spider in the web"", who brings together Sana and all the necessary stakeholders on the customer side. Region-specific roles: 2 Project Coordinators (CET) Key tasks include: * Assist customers in utilizing our learning software * 1:1 meetings, trainings and troubleshooting sessions with customers * Setup a project plan (we have templates) * Prepare and chair project kick-offs (we have templates) * Follow-up on plan proactively, schedule meetings, prepare meeting agendas * Problem solve in case of need * Respond to customer requests via email * Bug reports * Product feedback You need to be very skilled in the following: * Communication, expectation management * Meeting facilitation * Written english You'll also need a flexible and quick mind, to learn quickly how Sana works (partially autonomously) and be able to answer the questions from the customer autonomously (obviously after a proper onboarding). THIS POSITION IS STILL AVAILABLE - PLEASE IGNORE THE HIRE COUNT, WE PAY CANDIDATES TO INTERVIEW WHICH REQUIRES US TO HIRE THEM THROUGH UPWORK How we’ll work together Hopefully, on an ongoing basis! There are plenty of projects to work on (50+), and we’re adding more all the time. If you happen to be in Stockholm, where we’re located, we’d love to say hi! We’ll start with a single course assignment and go from there. Must-haves * 2+ years project management or support and client-facing experience * Ability to think both critically and creatively * Native-level fluency in English * A growth mindset and a coaching attitude * Willingness to work with a wide variety of subjects * Ability to work to deadlines and iterate on feedback quickly","2025-05-28",""
"Build an AI Agent prototype with n8n","$1M+
spent","Hourly: $40.00 - $80.00 Expert Est. time: Less than 1 month, Less than 30 hrs/week","Yes","OpenAI API, Artificial Intelligence, n8n, Machine Learning","No","agentic ai","https://www.upwork.com/jobs/Build-span-class-highlight-span-span-class-highlight-Agent-span-prototype-with-n8n_~021914946733455651915/?referrer_url_path=/nx/search/jobs/","## **Task Description – AI Agent prototype** ### **Project Goal** The aim is to develop an intelligent AI agent showcase accessible via chatbot and voicebot that can automatically schedule appointments with prospective clients. The agent will be integrated into a DEMO project page from PROPSTER and will send personalized brochures to potential customers. --- ### **Scope of Services** #### 🔧 1. **Technical Implementation with n8n** - Set up the complete AI agent workflow on the automation platform n8n - Integration of relevant AI components (e.g., OpenAI, VAPI, or similar) - Ensure a stable and scalable environment #### 💬 2. **Communication via Chatbot & Voicebot** - Setup of a chatbot for text-based interaction - Connection of a voicebot for speech-based interaction - Speech recognition and text-to-speech functionalities #### 📅 3. **Calendar Integration** - Access to a sales employee’s calendar via Google Calendar or similar - Real-time retrieval of available appointment slots #### 📆 4. **Automated Appointment Scheduling** - Intelligent selection of a suitable appointment (in-person or online) - Automated sending of calendar invites including meeting link (for online appointments) #### 📤 5. **Sending Personalized Brochures** - Creation and dispatch of individually customized brochures directly after the appointment is scheduled - Dynamic personalization of content based on the conversation or provided data --- ### **Objective** A user-friendly, efficient AI agent that automates the sales process, enhances the customer experience, and saves valuable time for the sales team. --- ## **Prompt Design – AI Agent** ### 🧠 **Prompt for Real Estate Sales – Project Korbgasse 15** **Prompt:** You are a virtual real estate advisor, specialized in the new development project *Korbgasse 15* in Vienna. Your main task is to advise potential buyers competently, friendly, and empathetically — with the goal of exciting them about the project and arranging a personal or virtual appointment with a broker. You know all the details about the project at [korbgasse15.at](http://korbgasse15.at), including: - Apartment sizes, floor plans, floors, and room layouts - Price lists and financing options - Location advantages (e.g., infrastructure, public transport, local amenities, leisure opportunities) - Construction and handover timelines - Standard features and customization options - Availability and reservation possibilities You answer questions comprehensively, clearly, and customer-oriented. Be sure to gently steer the conversation toward scheduling a meeting with a broker. The goal is to bring as many prospects as possible into a personal consultation — either on-site or online. **Your approach:** 1. **Understand:** Ask specific follow-up questions about the living situation, preferred location, household size, budget, etc. 2. **Advise:** Provide personalized information about the suitable apartment within the *Korbgasse 15* project. 3. **Inspire:** Highlight special benefits of the project (e.g., quiet location, high-quality features, commission-free). 4. **Act:** Proactively offer to schedule a consultation — by phone, video, or in person, depending on the prospect's preference. You’re encouraged to follow up kindly if someone hesitates and offer to clarify open questions during the appointment. If you lack information or if legally binding statements are required, refer to the responsible broker. **Note to the AI system:** Speak in a natural, approachable, and professional tone. You are warm, not pushy. Your goal is to build trust and make the path to decision-making as pleasant as possible.","2025-05-28",""
"AI Agent Builder (n8n Expert) for Marketing Workflows","$1M+
spent","Hourly: $15.00 - $50.00 Expert Est. time: 3 to 6 months, 30+ hrs/week","Yes","API Integration, Web Scraping, Data Integration","No","agentic ai","https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Agent-span-Builder-n8n-Expert-for-Marketing-Workflows_~021913306550318291919/?referrer_url_path=/nx/search/jobs/","We're seeking an experienced n8n developer to help us build AI-powered automation agents across our marketing stack. You’ll work with a variety of native nodes and APIs to create agents that automate reporting, trigger actions across platforms, and enhance campaign intelligence. Key Responsibilities: -Design and build no-code/low-code AI Agents in n8n -Integrate tools like GA4, Meta, Shopify, Klaviyo, Google Ads, etc. -Work with APIs for platforms such as Amazon, SEMrush, and TikTok -Create workflows involving web scraping, scheduled reports, and dynamic triggers -Collaborate with our in-house performance and marketing teams Ideal Candidate: -Proven experience using n8n, including native nodes and custom modules -Comfortable with platforms such as Facebook, Google Sheets, Slack, Harvest, WooCommerce, and Shopify -Familiar with API integration for tools like SEMrush, Amazon SP-API, and Attentive -Bonus: Understanding of digital marketing workflows (attribution, campaign tracking, data syncing) -Strong problem-solving skills and ability to document your workflows To Apply: Include: - A brief summary of your n8n experience - Examples of past workflows or AI agents you've built - Your availability and hourly rate","2025-05-28",""
"Retail Industry Consultant with Business and Tech Exposure","$600K+
spent","Hourly: $20.00 - $80.00 Expert Est. time: 1 to 3 months, Less than 30 hrs/week","Yes","AI Consulting, Retail & Consumer Goods, Strategy, Business Analysis","No","agentic ai","https://www.upwork.com/jobs/Retail-Industry-Consultant-with-Business-and-Tech-Exposure_~021925779005433757508/?referrer_url_path=/nx/search/jobs/","We’re seeking a Retail Industry Consultant with deep experience in Consumer Packaged Goods (CPG) and multi-format retail to help us refine and expand our Enterprise AI platform offerings. Your role will be to act as a subject matter expert and advisor to our product and strategy teams as we create a suite of AI-powered agentic solutions for retail. You’ll help identify the highest-value use cases across the retail value chain (store ops, supply chain, finance, merchandising, CX) and support us in benchmarking ROI, operational lift, and AI readiness in real-life retail environments.","2025-05-28",""
"Senior Python Engineer - Agentic AI System","$600K+
spent","Hourly Expert Est. time: More than 6 months, 30+ hrs/week","Yes","Artificial Intelligence, Python, Machine Learning, Amazon Web Services, API","Yes","agentic ai","https://www.upwork.com/jobs/Senior-Python-Engineer-span-class-highlight-Agentic-span-span-class-highlight-span-System_~021921486967144373644/?referrer_url_path=/nx/search/jobs/","About Us Noam Institute is a global leader in education technology, recruitment solutions, and test preparation. Operating in Israel and over 10 countries since 1992, we empower individuals and businesses with innovative, AI-driven tools and personalized services. Position Overview We are seeking a Senior Python Engineer to join our team and contribute to the development of the next-generation Agentic AI System. This innovative platform leverages large language models (LLMs) and advanced architectures to create autonomous agents capable of real-time reasoning, action, and adaptation. Your work will shape scalable, modular, and dynamic systems driving the future of AI-powered interactions. Description and requirements Job Description Design, develop, and optimize Python-based backend systems for scalable AI applications. Implement modular, composable components to support flexible workflows and autonomous agent functionality. Integrate advanced AI frameworks (e.g., LangChain, AutoGen, Haystack) and LLMs to enable intelligent agent-based systems. Develop high-performance asynchronous APIs using FastAPI. Ensure data storage and retrieval with relational/NoSQL databases and in-memory systems. Build robust logging and monitoring mechanisms to support traceable and adaptive systems. Maintain high coding standards with rigorous testing and modular design. Job Requirements: Education Bachelor’s or Master’s degree in Computer Science, Software Engineering, or related field. Experience 5+ years of Python backend development with scalable and distributed systems. Skills Proficiency in Python frameworks like FastAPI, Flask, or Django. Strong expertise in AWS services (Lambda, S3, DynamoDB, RDS, etc.). Familiarity with AI frameworks (e.g., TensorFlow, PyTorch, Hugging Face, LangChain). Solid understanding of microservices and event-driven architecture. Experience with containerization (Docker) and orchestration (Kubernetes). Proficiency with version control (Git) and CI/CD workflows. Knowledge of relational (PostgreSQL, MySQL) and NoSQL (DynamoDB, OpenSearch) databases. Preferred Qualifications Hands-on experience with large language models and agent-based systems. Familiarity with cognitive architectures, such as state machines and routing. Experience with agile methodologies and test-driven development (TDD). Basic knowledge of frontend frameworks (React, Angular, Vue.js). What We Offer Opportunity to work on transformative AI projects impacting multiple industries. A collaborative and innovative environment. Professional development with exposure to cutting-edge AI technologies. Competitive salary and comprehensive benefits.","2025-05-28",""
"Backend Lead Engineer – AI Agents","$600K+
spent","Hourly Expert Est. time: More than 6 months, 30+ hrs/week","Yes","AI Model Integration, AI Agent Development, Python","No","agentic ai","https://www.upwork.com/jobs/Backend-Lead-Engineer-span-class-highlight-span-span-class-highlight-Agents-span_~021925412855087720289/?referrer_url_path=/nx/search/jobs/","Backend Lead Engineer – AI Agents & Workflow Automation Full-Time | Remote | High-Impact Product Team We're hiring a Backend Lead Engineer to own the architecture and development of a cutting-edge AI-powered agent platform — built for automating internal operations, multi-step task workflows, and real-time user interactions. You’ll lead backend efforts for a platform that orchestrates LLM-powered agents, configurable workflows, knowledge retrieval systems, and seamless tool integrations. You must be capable of owning architecture, shipping clean code, and guiding a team toward scalable, production-ready outcomes. What You’ll Do Lead backend development of an agent orchestration platform built on LLMs and automation logic Design and build systems for: Multi-agent workflows and agent memory/context passing (Relevance ai, Glean, ServiceNow) Dynamic tool calling and API chaining MCP usage - (Paragon, Composio) Configurable workflow logic similar to no-code tools (e.g. Zapier, Make) Knowledge base ingestion and semantic retrieval (via vector DBs) Architect secure, scalable services with multi-tenancy, RBAC, logging, and modular design Collaborate across frontend, AI, and product teams to deliver an intuitive, intelligent system Establish backend engineering standards, run code reviews, and mentor junior engineers You’re Not Just Building Agents — You’re Building an Agent Platform We're not just integrating LLMs into backend workflows — we're building a modular, user-configurable agent platform. This means: Users define agent goals, tools, memory, and communication Users configure logic between agents (triggers, conditions, fallback behavior) Your backend supports a dynamic system, not hardcoded logic If you've built workflow builders, no-code tools, Zapier-style platforms, or agent control systems — we want to talk. Tech Stack We work with: Languages: TypeScript (Node.js), Python Frameworks: FastAPI Databases: PostgreSQL, Prisma/TypeORM, Redis AI/LLM Stack: LangChain, OpenAI APIs, vector databases (Weaviate, Pinecone), Azure AI Services Infrastructure: Docker, REST APIs, webhooks, cloud platforms (Azure or AWS) Security: OAuth2, JWT, audit logging, RBAC You’ll Succeed Here If You: You’ve led the design or implementation of scalable backend systems — whether on a team or solo — and can prove it through code, shipped products, or clear architecture thinking. You've built or contributed to agent orchestration systems, automation workflows, or AI toolchains (LangChain, CrewAI, AutoGen, etc.) Understand modular backend design with user-configurable workflows or automation Know how to implement and scale vector search, embeddings, and RAG pipelines Are strong in prompt design, agent control logic, and fallbacks in production environments Thrive in cross-functional environments and can communicate clearly with AI, product, and design teams Bonus Points For: Experience building no-code or low-code platforms Familiarity with multi-tenant SaaS architectures Background in building automation platforms, CRM/ERP backends, or internal tooling Exposure to compliance-aware systems (HIPAA, SOC 2, etc.) To Apply Send: GitHub, portfolio, or relevant repos A brief intro about what you’ve built Examples of agent workflows or automation platforms you've worked on We're building the next generation of intelligent systems. If you're passionate about LLMs, backend architecture, and automation at scale — we want to meet you.","2025-05-28",""
